state,state_abbr,county,year,is_partial_year,num_active_units,total_co2_mass_tons,total_so2_mass_tons,total_nox_mass_tons,total_gross_load_mwh,total_heat_input_mmbtu,co2_rate_tons_per_mwh,so2_rate_tons_per_mwh,nox_rate_tons_per_mwh,pct_heatinput_coal,pct_heatinput_natural_gas,pct_heatinput_oil,pct_heatinput_biomass_waste,pct_heatinput_other,pct_heatinput_unknown,so2_to_nox_ratio,co2_to_nox_ratio,co2_yoy_pct_change,so2_yoy_pct_change,nox_yoy_pct_change
Alabama,AL,Calhoun,2023,FALSE,4,29578.85,0.143,17.756,39372.75,436660.875,0.75125,0.000004,0.000451,0,100,0,0,0,0,0.0081,1665.851,-90.77,-91.1,-81.8
Alabama,AL,Calhoun,2024,FALSE,4,204928.125,1.031,58.503,325669,3424141.325,0.62925,0.000003,0.00018,0,100,0,0,0,0,0.0176,3502.8652,592.82,620.98,229.48
Alabama,AL,Calhoun,2025,FALSE,4,77473.95,0.393,27.169,98410.5,1255012.425,0.78725,0.000004,0.000276,0,100,0,0,0,0,0.0145,2851.5569,-62.19,-61.88,-53.56
Alabama,AL,Calhoun,2026,TRUE,4,87137.575,0.44,29.686,133619.75,1413309.3,0.65213,0.000003,0.000222,0,100,0,0,0,0,0.0148,2935.3087,12.47,11.96,9.26
Alabama,AL,Colbert,2020,FALSE,8,3304.1,1.743,11.298,3731,53425,0.88558,0.000467,0.003028,0,100,0,0,0,0,0.1543,292.45,,,
Alabama,AL,Colbert,2021,FALSE,8,16295.2,4.397,54.935,19967,269756.4,0.81611,0.00022,0.002751,0,100,0,0,0,0,0.08,296.6269,393.18,152.27,386.24
Alabama,AL,Colbert,2022,FALSE,8,31752.6,6.158,106.6,38946,529235.7,0.8153,0.000158,0.002737,0,100,0,0,0,0,0.0578,297.8668,94.86,40.05,94.05
Alabama,AL,Colbert,2023,FALSE,11,37420.817,3.888,61.766,57840.42,625437.879,0.64697,0.000067,0.001068,0,100,0,0,0,0,0.0629,605.8482,17.85,-36.86,-42.06
Alabama,AL,Colbert,2024,FALSE,11,550790.745,4.588,137.18,877308.68,9265628.821,0.62782,0.000005,0.000156,0,100,0,0,0,0,0.0334,4015.0951,1371.88,18,122.1
Alabama,AL,Colbert,2025,FALSE,11,592536.07,3.642,211.076,930491.26,9973371.154,0.6368,0.000004,0.000227,0,100,0,0,0,0,0.0173,2807.2167,7.58,-20.62,53.87
Alabama,AL,Colbert,2026,TRUE,11,347619.207,1.755,89.869,543031.95,5850151.065,0.64015,0.000003,0.000165,0,100,0,0,0,0,0.0195,3868.0658,-41.33,-51.81,-57.42
Alabama,AL,Covington,2020,FALSE,3,1776162.766,8.953,219.721,2874437.72,29887417.483,0.61792,0.000003,0.000076,0,100,0,0,0,0,0.0407,8083.7187,,,
Alabama,AL,Covington,2021,FALSE,3,1701113.135,8.651,208.245,2745703.55,28622563.224,0.61955,0.000003,0.000076,0,100,0,0,0,0,0.0415,8168.8066,-4.23,-3.37,-5.22
Alabama,AL,Covington,2022,FALSE,3,1679034.028,8.488,214.666,2673963.41,28253099.581,0.62792,0.000003,0.00008,0,100,0,0,0,0,0.0395,7821.6114,-1.3,-1.88,3.08
Alabama,AL,Covington,2023,FALSE,3,1597627.103,8.144,206.535,2534440.26,26881356.636,0.63037,0.000003,0.000081,0,100,0,0,0,0,0.0394,7735.3819,-4.85,-4.05,-3.79
Alabama,AL,Covington,2024,FALSE,3,1260014.079,6.393,172.149,2017612.21,21201643.386,0.62451,0.000003,0.000085,0,100,0,0,0,0,0.0371,7319.3227,-21.13,-21.5,-16.65
Alabama,AL,Covington,2025,FALSE,3,1511191.775,7.649,201.563,2431492.33,25428638.47,0.62151,0.000003,0.000083,0,100,0,0,0,0,0.0379,7497.367,19.93,19.65,17.09
Alabama,AL,Covington,2026,TRUE,3,688393.851,3.477,76.206,1110937.9,11583531.999,0.61965,0.000003,0.000069,0,100,0,0,0,0,0.0456,9033.3288,-54.45,-54.54,-62.19
Alabama,AL,Dallas,2020,FALSE,2,0,0,231.967,64748.81,1092160.103,0,0,0.003583,0,100,0,0,0,0,0,0,,,
Alabama,AL,Dallas,2021,FALSE,2,0,0,549.573,113768.98,1936632.207,0,0,0.004831,0,100,0,0,0,0,0,0,,,136.92
Alabama,AL,Dallas,2022,FALSE,2,0,0,134.952,18032.7,363399.836,0,0,0.007484,0,100,0,0,0,0,0,0,,,-75.44
Alabama,AL,Etowah,2020,FALSE,1,52695.925,0.266,56.023,0,886757.55,,,,0,100,0,0,0,0,0.0047,940.6123,,,
Alabama,AL,Etowah,2021,FALSE,0,0,0,0,0,0,,,,,,,,,,,,-100,-100,-100
Alabama,AL,Etowah,2022,FALSE,1,1246.25,0.006,0.779,0,20971,,,,0,100,0,0,0,0,0.0077,1599.8074,,,
